node,l_P,l_Q,s_max,c,v_min,v_max,r,x,I_max
0,0,0,5,100,0.95,1.05,"[0, 0.007547918, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0.022173236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3.0441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,0.2,0.116,0,0,0.95,1.05,"[0, 0, 0.0041, 0, 0.007239685, 0, 0.007547918, 0, 0, 0, 0, 0, 0]","[0, 0, 0.0064, 0, 0.007336076, 0, 0.022173236, 0, 0, 0, 0, 0, 0]","[0, 0, 1.4178, 0, 0.9591, 0, 3.0441, 0, 0, 0, 0, 0, 0]"
2,0.39,0.24,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3.1275, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,0.4,0.29,3,150,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,0.17,0.125,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0.004343811, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0.004401645, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0.9591, 0, 0, 0, 0, 0, 0, 0]"
5,0.23,0.132,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,1.155,0.66,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0.003773959, 0, 0, 0.004322245, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0.011086618, 0, 0, 0.004433667, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 3.0441, 3.1275, 0, 0.9591, 0, 0]"
7,0.42,0.57,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,0.17,0.151,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00434686, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.002430473, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37193, 0, 0, 0]"
9,0.843,0.462,3,50,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,0.132,0.111,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.004343157, 0.01169764]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.004402952, 0.004490848]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9591, 1.2927]"
11,0.17,0.08,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,0.128,0.086,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
