node,l_P,l_Q,s_max,c,v_min,v_max,r,x,I_max
0,0,0,5,100,0.95,1.05,"[0, 0.03774, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0.044346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 4.5662, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,0.2,0.116,0,0,0.95,1.05,"[0, 0, 0.02050, 0, 0.036198, 0, 0.03774, 0, 0, 0, 0, 0, 0]","[0, 0, 0.01280, 0, 0.014672, 0, 0.044346, 0, 0, 0, 0, 0, 0]","[0, 0, 1.4178, 0, 0.9591, 0, 4.5662, 0, 0, 0, 0, 0, 0]"
2,0,0,0,0,0.95,1.05,"[0, 0, 0, 0.01000, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0.00500, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3.1275, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,0.4,0.29,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,0.17,0.125,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0.021719, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0.008803, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0.9591, 0, 0, 0, 0, 0, 0, 0]"
5,0.23,0.132,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,1.155,0.66,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0.018870, 0.01000, 0, 0.021611, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0.022173, 0.00500, 0, 0.008867, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 3.0441, 3.1275, 0, 0.9591, 0, 0]"
7,5,3,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,0.17,0.151,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.021734, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.004861, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37193, 0, 0, 0]"
9,0.843,0.462,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,1.56,0.885,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.021716, 0.058488]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.008806, 0.008982]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9591, 1.2927]"
11,0.17,0.08,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,0.128,0.086,0,0,0.95,1.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
